Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
au,chiropractor tweed heads,tweed heads chiropractor,,,,,140,22,0.00,0.00,15900,Commercial,"Related Searches, Local Pack, Image","0.53,0.53,0.42,0.53,0.53,0.42,0.80,0.65,0.53,0.42,0.53,0.42",90,,
au,chiro tweed heads,tweed chiro,,,,,30,0,0.00,0.00,,,,"0.04,0.04,0.04,0.04,0.04,0.04,0.33,0.33,0.23,0.19,0.19,0.19",,,
au,tweed heads chiro,tweed chiro,,,,,30,0,0.00,0.00,,,,"0.00,0.14,0.14,0.14,0.14,0.14,1.00,1.00,0.71,0.42,0.42,0.42",,,
au,tweed chiro,tweed chiro,,,,,10,0,0.00,0.00,,,,"0.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",,,
au,chiropractor banora point,banora chiropractor,,,,,20,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.71,1.00,0.28,0.14,0.71,0.14",,,
au,banora chiropractor,banora chiropractor,,,,,0,0,0.00,0.00,,,,"1.00,0.00,0.00,0.00",,,
au,banora point chiropractor,banora chiropractor,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
au,chiropractor coolangatta,coolangatta chiropractor,,,,,50,0,0.00,0.00,,,,"0.41,0.29,0.29,0.29,0.41,0.41,0.17,0.23,0.17,0.23,0.29,0.23",,,
au,coolangatta chiropractor,coolangatta chiropractor,,,,,10,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.50,0.75,0.50",,,
au,coolangatta chiro,coolangatta chiro,,,,,20,0,1.94,0.60,,,,"0.00,0.00,0.00,0.25,0.50,0.75,1.00,0.50,1.00,0.50,0.50,0.50",,,
au,chiropractor kingscliff,chiropractor kingscliff,,,,,70,6,0.00,0.00,0,Commercial,"Image, Related Searches, Local Pack","0.45,0.63,0.63,0.45,0.63,0.45,0.81,0.81,0.63,0.45,0.45,0.63",75,,
au,kingscliff chiropractor,chiropractor kingscliff,,,,,0,0,0.00,0.00,,,,"0.75,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
au,chiropractors kingscliff,chiropractor kingscliff,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
au,casuarina chiro,casuarina chiro,,,,,0,0,0.00,0.00,,,,"0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00",,,
au,chiropractor casuarina,casuarina chiropractor,,,,,50,0,0.00,0.00,,,,"0.18,0.18,0.09,0.09,0.09,0.09,1.00,1.00,0.81,0.45,0.63,0.45",,,
au,casuarina chiropractor,casuarina chiropractor,,,,,10,0,0.00,0.00,,,,"0.07,0.07,0.07,0.21,0.21,0.07,0.00,0.00,0.00,0.00,0.00,0.00",,,
au,chinderah chiropractor,chinderah chiropractor,,,,,20,0,0.00,0.00,,,,"0.80,0.80,1.00,0.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
au,chiropractor chinderah,chinderah chiropractor,,,,,20,0,0.00,0.00,,,,"0.20,0.20,0.40,0.20,0.20,0.00,1.00,0.80,0.60,0.20,0.00,0.00",,,
au,chiropractor in chinderah,chinderah chiropractor,,,,,20,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,1.00,1.00,0.42,0.14,0.14,0.00",,,
au,chiropractor kirra beach,kirra chiropractor,,,,,10,0,0.00,0.00,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.00,0.00,0.00,0.00",,,
au,chiropractor kirra,kirra chiropractor,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
au,kirra chiropractor,kirra chiropractor,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
au,sciatica treatment,sciatica,,,,,6600,72,0.00,0.00,26600000,Informational,"Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Image, Video Carousel","0.44,0.66,0.36,0.36,0.66,0.29,0.54,0.66,0.44,0.36,0.36,0.36",75,,
au,sciatica pain,sciatica,,,,,18100,77,0.00,0.00,28200000,Informational,"Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Image, Video Carousel","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",75,,
au,sciatica,sciatica,,,,,33100,90,0.00,0.00,153,Informational,"Video, Image, Video Carousel, Related Searches, AI Overview","0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.66",60,,
au,sciatica treatments,sciatica,,,,,2400,65,0.00,0.00,28300000,Informational,"Discussions And Forums, AI Overview, Video, Image, Video Carousel, Related Searches","0.66,0.66,0.66,0.53,0.53,0.53,0.53,0.53,0.24,0.10,0.00,0.00",75,,
au,immediate relief sciatica,sciatica,,,,,1600,59,1.12,0.94,5400000,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Image, Video Carousel, Related Searches","0.79,0.66,0.79,0.79,0.79,0.66,0.05,0.54,0.66,0.79,0.66,0.66",20,,
au,pregnant and sciatica,sciatica,,,,,1600,31,0.84,0.01,139,Informational,"Discussions And Forums, AI Overview, Video, Image, Video Carousel, Related Searches","0.66,0.66,0.79,1.00,0.79,0.66,0.05,0.54,0.66,0.54,0.54,0.54",90,,
au,what is sciatica,sciatica,,,,,1600,80,0.00,0.00,19900000,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Video, Image, Video Carousel","0.79,0.54,0.54,0.79,0.66,0.54,0.66,0.79,0.66,1.00,0.54,0.66",90,,
au,exercises for sciatica,sciatica,,,,,1300,47,0.00,0.00,22200000,Informational,"AI Overview, Video, Image, Video Carousel, People Also Ask, Related Searches, See Results About","0.41,0.41,0.54,0.41,0.79,0.41,0.54,0.54,0.54,0.54,0.41,0.54",90,,
au,sciatica pain how to relieve,sciatica,,,,,1300,69,0.96,0.92,19900000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video","0.84,0.07,0.84,0.84,1.00,0.68,0.00,0.68,0.84,1.00,0.84,1.00",20,,
au,how to reduce sciatica pain,sciatica,,,,,1000,56,0.31,0.55,23300000,Informational,"Image, Video Carousel, Related Searches, AI Overview, Image Pack, Video","0.84,0.68,0.84,0.84,1.00,0.84,0.16,0.84,0.05,0.37,0.11,0.08",90,,
